,state,District,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,person,Male,Female,growthinpopulation,rural,urban,STPop,Personlit_rate,Mlit_Rate,Flit_Rate,Totalworkers,Mainworkers,Marginal workers,Nonworkers,Religion1,religion1 population,Religion2,Religion2 Population,religion3name,religion3poulation,inhabitadevillages,drinkingwater,electricity,primary school,Medical facility
247,gujarat,valsad,2002.0,39,14,3,0,3,21,16,5,0,12,0,32,0,1410553,734799,675754,29.66,1029392,920.0,772405,69.15,77.9,59.62,650257,503333,146924,760296,1.Hindus,1300005,2.Muslims,66440,3.Christians,15399,450.0,450.0,425.0,449.0,303
248,haryana,ambala,2002.0,25,18,15,0,15,21,18,3,7,17,0,122,0,1014411,542977,471434,25.69,657383,868.0,-,75.31,82.31,67.39,324521,275648,48873,689890,1.Hindus,856193,2.Sikhs,132463,3.Muslims,17263,482.0,482.0,479.0,432.0,204
249,haryana,bhiwani,2002.0,35,24,17,0,17,16,13,3,35,29,0,54,0,1425022,758253,666769,22.45,1154629,879.0,-,67.45,80.26,53.0,609320,425210,184110,815702,1.Hindus,1407363,2.Muslims,12740,3.Sikhs,2542,437.0,437.0,437.0,429.0,252
250,haryana,faridabad,2002.0,57,38,37,0,37,61,39,22,19,56,1122,92,0,2194586,1193063,1001523,48.47,973242,839.0,-,70.03,81.52,56.31,785762,609663,176099,1408824,1.Hindus,1896698,2.Muslims,247293,3.Sikhs,36005,413.0,413.0,413.0,376.0,188
251,haryana,gurgaon,2002.0,66,50,27,0,27,50,36,14,11,35,57,128,0,1660289,886451,773838,44.64,1291285,873.0,-,62.91,76.17,47.78,629658,464644,165014,1030631,1.Hindus,1026542,2.Muslims,617918,3.Sikhs,6672,694.0,694.0,693.0,642.0,203
252,haryana,jind,2002.0,33,13,19,0,19,15,9,6,11,10,12,57,0,1189827,642282,547545,21.35,948250,852.0,-,62.12,73.82,48.51,521946,372049,149897,667881,1.Hindus,1134539,2.Sikhs,29159,3.Muslims,20618,306.0,306.0,306.0,300.0,247
253,haryana,kaithal,2002.0,26,21,7,0,7,7,4,3,6,11,0,98,0,946131,510513,435618,20.95,762649,853.0,-,59.02,69.15,47.31,372011,268127,103884,574120,1.Hindus,848765,2.Sikhs,88700,3.Muslims,6777,270.0,270.0,270.0,261.0,160
254,haryana,karnal,2002.0,39,28,37,0,37,16,8,8,11,25,0,115,0,1274183,683368,590815,23.13,936341,865.0,-,67.74,76.29,57.97,455455,355466,99989,818728,1.Hindus,1125279,2.Sikhs,123160,3.Muslims,22614,422.0,422.0,422.0,385.0,186
255,haryana,kurukshetra,2002.0,31,13,15,0,15,18,14,4,7,20,14,88,0,825454,442328,383126,23.72,609943,866.0,-,69.88,78.06,60.61,308392,250596,57796,517062,1.Hindus,675381,2.Sikhs,135545,3.Muslims,12028,407.0,402.0,406.0,385.0,179
256,haryana,mahendragarh,2002.0,21,9,16,0,16,19,9,10,3,22,0,19,0,812521,423578,388943,19.09,702885,918.0,-,69.89,84.72,54.08,351864,204704,147160,460657,1.Hindus,805991,2.Muslims,3434,3.Sikhs,2026,368.0,368.0,368.0,350.0,190
257,haryana,panipat,2002.0,46,25,43,1,42,30,21,9,9,22,20,193,0,967449,528860,438589,38.57,575369,829.0,-,69.17,78.5,57.97,382801,289013,93788,584648,1.Hindus,873593,2.Muslims,59696,3.Sikhs,27437,179.0,179.0,179.0,168.0,116
258,haryana,rewari,2002.0,21,9,10,0,10,11,7,4,14,15,0,23,0,765351,403034,362317,25.24,629177,899.0,-,75.25,88.45,60.83,333622,204855,128767,431729,1.Hindus,758328,2.Muslims,3194,3.Sikhs,1668,397.0,397.0,397.0,379.0,175
259,haryana,rohtak,2002.0,63,39,17,0,17,16,10,6,17,14,40,30,0,940128,509038,431090,20.99,610524,847.0,-,73.72,83.23,62.59,371073,288225,82848,569055,1.Hindus,924541,2.Muslims,5665,3.Sikhs,5079,146.0,146.0,146.0,130.0,118
260,haryana,sirsa,2002.0,43,37,20,0,20,22,3,19,7,30,0,103,0,1116649,593245,523404,22.96,823184,882.0,-,60.55,70.05,49.93,475571,363946,111625,641078,1.Hindus,801747,2.Sikhs,302942,3.Muslims,7056,321.0,321.0,318.0,312.0,197
261,haryana,sonipat,2002.0,82,49,14,0,14,24,16,8,20,15,10,63,0,1279175,695723,583452,22.36,957800,839.0,-,72.79,83.06,60.68,523031,383449,139582,756144,1.Hindus,1234225,2.Muslims,31954,3.Jains,6729,323.0,323.0,323.0,316.0,248
262,haryana,yamunanagar,2002.0,31,16,13,0,13,22,18,4,9,11,0,55,0,1041630,559444,482186,21.84,648608,862.0,-,71.63,78.82,63.39,336533,280728,55805,705097,1.Hindus,849255,2.Muslims,104073,3.Sikhs,83524,613.0,613.0,607.0,483.0,248
263,jharkhand,deoghar,2002.0,36,34,37,0,37,5,2,3,16,7,0,17,0,1165390,608878,556512,24.46,1005539,914.0,142717,50.09,66.38,31.99,432714,283711,149003,732676,1.Hindus,910409,2.Muslims,221705,3.Others,27263,2356.0,2356.0,289.0,768.0,94
264,jharkhand,dhanbad,2002.0,88,42,38,0,38,72,25,47,36,53,3,19,0,2397102,1278946,1118156,22.82,1141744,874.0,202729,67.0,79.54,52.43,664058,492501,171557,1733044,1.Hindus,1944757,2.Muslims,364807,3.Others,61505,1121.0,1121.0,503.0,708.0,154
265,jharkhand,dumka,2002.0,67,149,50,0,50,15,3,12,8,31,0,37,0,1759602,897364,862238,17.31,1644690,961.0,701903,47.94,62.86,32.35,778378,470354,308024,981224,1.Hindus,1323468,2.Muslims,203741,3.Others,170201,3737.0,3737.0,213.0,1732.0,312
266,jharkhand,giridih,2002.0,72,27,39,0,39,23,8,15,52,48,0,36,0,1904430,960679,943751,27.09,1782066,982.0,184469,44.5,62.09,26.62,644644,340925,303719,1259786,1.Hindus,1475201,2.Muslims,383253,3.Others,30778,2532.0,2532.0,481.0,1232.0,229
267,jharkhand,godda,2002.0,31,36,86,0,86,21,6,15,4,0,0,56,0,1047939,544043,503896,21.61,1010931,926.0,247538,43.13,57.52,27.39,421941,238694,183247,625998,1.Hindus,745237,2.Muslims,210734,3.Others,68055,1633.0,1633.0,257.0,892.0,141
268,jharkhand,gumla,2002.0,108,32,31,0,31,9,8,1,1,4,0,14,0,1346767,675769,670998,16.6,1273025,993.0,920597,51.74,63.5,39.95,658921,446953,211968,687846,1.Hindus,440373,2.Christians,425107,3.Others,419004,1393.0,1393.0,92.0,1015.0,365
269,jharkhand,hazaribagh,2002.0,86,59,71,0,71,33,18,15,31,27,0,90,0,2277475,1167793,1109682,24.02,1748406,950.0,268333,57.74,71.81,42.87,790049,532895,257154,1487426,1.Hindus,1870586,2.Muslims,337117,3.Others,36789,1543.0,1543.0,413.0,962.0,147
270,jharkhand,palamu,2002.0,69,48,14,0,14,16,8,8,24,11,0,18,34,2098359,1084417,1013942,26.8,1973266,935.0,392325,44.95,58.91,29.88,793658,444921,348737,1304701,1.Hindus,1740948,2.Muslims,242980,3.Others,63100,2465.0,2465.0,410.0,1474.0,349
271,jharkhand,ranchi,2002.0,270,161,55,0,55,67,22,45,9,73,0,62,0,2785064,1436976,1348088,25.72,1807243,938.0,1164624,64.57,76.56,51.72,1076904,750962,325942,1708160,1.Hindus,1399301,2.Others,767672,3.Muslims,348774,2052.0,2052.0,331.0,1343.0,377
272,karnataka,belgaum,2002.0,113,60,6,0,6,26,16,10,7,55,0,102,0,4214505,2150090,2064415,17.4,3201814,960.0,243451,64.21,75.7,52.32,1877774,1537645,340129,2336731,1.Hindus,3565153,2.Muslims,440836,3.Christians,169466,1255.0,1254.0,1247.0,1240.0,740
273,karnataka,bellary,2002.0,62,58,11,0,11,13,8,5,8,68,0,52,0,2027140,1029714,997426,22.3,1320290,969.0,364638,57.4,69.2,45.28,920821,801369,119452,1106319,1.Hindus,1739522,2.Muslims,257806,3.Christians,13226,524.0,523.0,524.0,381.0,260
274,karnataka,bidar,2002.0,49,62,8,0,8,23,13,10,10,85,2,64,0,1502373,771022,731351,19.56,1157498,949.0,182219,60.94,72.46,48.81,557603,424985,132618,944770,1.Hindus,1020174,2.Muslims,295762,3.Buddhists,122083,599.0,596.0,596.0,591.0,293
275,karnataka,bijapur,2002.0,62,53,3,0,3,30,24,6,5,71,0,90,0,1806918,926424,880494,17.63,1410829,950.0,30051,57.01,69.94,43.47,718213,551972,166241,1088705,1.Hindus,1495080,2.Muslims,294491,3.Jains,8356,660.0,659.0,657.0,626.0,392
276,karnataka,chitradurga,2002.0,37,18,12,0,12,7,4,3,7,46,0,32,0,1517896,776221,741675,15.05,1243658,955.0,266235,64.45,74.66,53.78,721835,576035,145800,796061,1.Hindus,1388506,2.Muslims,109412,3.Religion not stated,8411,946.0,916.0,946.0,879.0,197
277,karnataka,davanagere,2002.0,57,26,14,0,14,18,15,3,8,74,2,73,0,1790952,917705,873247,14.78,1247954,952.0,209701,67.43,76.37,58.04,783781,631726,152055,1007171,1.Hindus,1532714,2.Muslims,226708,3.Religion not stated,10944,810.0,786.0,808.0,727.0,278
278,karnataka,gulbarga,2002.0,79,76,24,0,24,43,32,11,4,119,6,73,0,3130922,1592789,1538133,21.02,2278301,966.0,154195,50.01,61.77,37.9,1350072,1010430,339642,1780850,1.Hindus,2381497,2.Muslims,551171,3.Buddhists,153619,1360.0,1327.0,1342.0,1337.0,708
279,karnataka,hassan,2002.0,74,65,11,0,11,26,0,26,7,64,0,62,0,1721669,859086,862583,9.66,1416996,1004.0,26451,68.63,78.37,59.0,864711,702827,161884,856958,1.Hindus,1587287,2.Muslims,104730,3.Christians,15598,2394.0,2330.0,2341.0,1990.0,482
280,karnataka,kodagu,2002.0,35,29,4,0,4,6,1,5,2,27,0,18,0,548561,274831,273730,11.64,473179,996.0,46115,77.99,83.7,72.26,266378,247574,18804,282183,1.Hindus,450694,2.Muslims,78466,3.Christians,17951,291.0,279.0,286.0,267.0,138
281,karnataka,kolar,2002.0,73,71,18,0,18,36,12,24,16,34,0,46,0,2536069,1286193,1249876,13.83,1910546,972.0,205711,62.84,73.17,52.23,1235028,1014667,220361,1301041,1.Hindus,2196660,2.Muslims,298767,3.Christians,32547,2919.0,2797.0,2785.0,2342.0,490
282,karnataka,koppal,2002.0,19,37,6,0,6,26,26,0,3,29,0,49,0,1196089,603312,592777,24.57,997797,983.0,138588,54.1,68.42,39.61,554506,422208,132298,641583,1.Hindus,1042294,2.Muslims,137174,3.Religion not stated,5395,594.0,590.0,594.0,560.0,281
283,karnataka,mandya,2002.0,61,56,30,0,30,18,0,18,14,45,0,102,0,1763705,888034,875671,7.14,1480990,986.0,17193,61.05,70.5,51.53,840419,682440,157979,923286,1.Hindus,1667640,2.Muslims,69890,3.Buddhists,11093,1369.0,1330.0,1323.0,1185.0,458
284,karnataka,raichur,2002.0,59,67,6,0,6,25,16,9,10,72,6,56,0,1669762,841840,827922,21.93,1248925,983.0,303042,48.81,61.52,35.93,732762,544347,188415,937000,1.Hindus,1417051,2.Muslims,228652,3.Christians,12390,830.0,806.0,796.0,306.0,338
285,karnataka,shimoga,2002.0,53,47,11,0,11,14,12,2,4,59,1,159,0,1642545,830559,811986,12.9,1071535,978.0,55997,74.52,82.01,66.88,714671,586832,127839,927874,1.Hindus,1401087,2.Muslims,200979,3.Christians,26474,1443.0,1415.0,1399.0,989.0,311
286,karnataka,tumkur,2002.0,58,49,9,0,9,19,10,9,16,60,0,30,0,2584711,1313801,1270910,11.87,2077509,967.0,193819,67.01,76.78,56.94,1316939,1050291,266648,1267772,1.Hindus,2349801,2.Muslims,211732,3.Christians,7736,2574.0,2477.0,2573.0,2123.0,382
287,kerala,ernakulam,2002.0,36,80,27,0,27,12,9,3,1,170,6,179,0,3105798,1538397,1567401,9.09,1628713,1019.0,10046,93.2,95.81,90.66,1117091,915756,201335,1988707,1.Hindus,1444994,2.Christians,1204471,3.Muslims,451764,90.0,90.0,90.0,89.0,89
288,kerala,idukki,2002.0,32,18,26,0,26,0,0,0,0,120,10,108,0,1129221,566682,562539,6.96,1071628,993.0,50973,88.69,92.33,85.02,487352,400699,86653,641869,1.Hindus,566744,2.Muslims,480108,3.Christians,81222,64.0,64.0,64.0,60.0,62
289,kerala,kannur,2002.0,28,63,21,0,21,14,8,6,0,89,7,203,0,2408956,1152817,1256139,7.13,1196058,1090.0,19969,92.59,96.13,89.4,767197,626876,140321,1641759,1.Hindus,1480748,2.Muslims,665648,3.Christians,261019,78.0,78.0,78.0,78.0,78
290,kerala,kollam,2002.0,41,49,60,0,60,20,12,8,2,307,1,312,0,2585208,1249621,1335587,7.33,2119230,1069.0,5190,91.18,94.43,88.18,828566,654823,173743,1756642,1.Hindus,1685044,2.Muslims,474071,3.Christians,423745,93.0,93.0,93.0,93.0,92
291,kerala,kottayam,2002.0,20,22,28,0,28,15,7,8,0,156,19,132,0,1953646,964926,988720,6.76,1653838,1025.0,18340,95.82,97.34,94.35,642157,539609,102548,1311489,1.Hindus,963497,2.Muslims,871371,3.Christians,116686,89.0,89.0,89.0,89.0,88
292,kerala,kozhikode,2002.0,21,39,53,0,53,5,1,4,0,135,12,343,0,2879131,1399358,1479773,9.87,1777974,1057.0,5940,92.24,96.11,88.62,802900,630836,172064,2076231,1.Hindus,1669161,2.Muslims,1078750,3.Christians,127468,87.0,87.0,87.0,87.0,87
293,kerala,malappuram,2002.0,26,28,70,0,70,11,4,7,3,90,5,431,0,3625471,1754576,1870895,17.22,3269301,1066.0,12267,89.61,93.25,86.26,874476,691848,182628,2750995,1.Hindus,2484576,2.Muslims,1057418,3.Christians,80650,122.0,122.0,122.0,122.0,121
294,kerala,palakkad,2002.0,51,42,48,0,48,10,7,3,0,122,5,196,0,2617482,1266985,1350497,9.86,2260907,1066.0,39665,84.35,89.52,79.56,945052,768620,176432,1672430,1.Hindus,1802766,2.Muslims,703596,3.Christians,109249,144.0,144.0,144.0,141.0,139
295,kerala,pathanamthitta,2002.0,28,24,12,0,12,0,0,0,0,139,4,116,0,1234016,589398,644618,3.72,1110218,1094.0,6549,94.84,96.41,93.43,366049,285844,80205,867967,1.Hindus,694560,2.Muslims,481602,3.Christians,56457,65.0,65.0,65.0,64.0,63
296,kerala,thrissur,2002.0,52,59,30,0,30,11,7,4,4,195,14,189,0,2974232,1422052,1552180,8.7,2134799,1092.0,4826,92.27,95.11,89.71,955300,808965,146335,2018932,1.Hindus,1761842,2.Muslims,720152,3.Christians,488697,204.0,204.0,204.0,196.0,194
297,maharashtra,akola,2002.0,59,34,28,0,28,21,16,5,4,70,11,156,0,1630239,841253,788986,20.51,1002742,938.0,100088,81.41,88.91,73.43,648243,582264,65979,981996,1.Hindus,1024080,2.Muslims,296272,3.Buddhists,293184,862.0,851.0,840.0,786.0,212
298,maharashtra,bhandara,2002.0,36,13,32,0,32,16,15,1,3,57,37,70,0,1136146,573445,562701,11.2,960418,981.0,97718,78.47,88.97,67.82,536885,365464,171421,599261,1.Hindus,953507,2.Buddhists,144541,3.Muslims,23324,778.0,772.0,774.0,716.0,442
299,maharashtra,chandrapur,2002.0,52,19,29,0,29,24,21,3,3,89,9,116,0,2071101,1062993,1008108,17.26,1406034,948.0,375256,73.17,82.94,62.89,930791,683029,247762,1140310,1.Hindus,1680113,2.Buddhists,274067,3.Muslims,76050,1472.0,1462.0,1444.0,1359.0,318
300,maharashtra,dhule,2002.0,46,25,16,0,16,8,8,0,7,20,6,124,0,1707947,878372,829575,16.01,1262062,944.0,443564,71.65,81.4,61.39,737941,573496,164445,970006,1.Hindus,1522895,2.Muslims,149466,3.Buddhists,14613,678.0,675.0,673.0,669.0,276
301,maharashtra,gadchiroli,2002.0,51,33,22,0,22,9,8,1,0,59,15,65,0,970294,491101,479193,23.25,903033,976.0,371696,60.1,71.86,48.07,497104,336959,160145,473190,1.Hindus,818640,2.Buddhists,78058,3.Others,44825,1521.0,1509.0,1320.0,1279.0,369
302,maharashtra,jalgaon,2002.0,81,39,22,0,22,21,19,2,10,78,29,219,0,3682690,1905493,1777197,15.44,2629896,933.0,435951,75.43,85.91,64.3,1563983,1300086,263897,2118707,1.Hindus,3049368,2.Muslims,455288,3.Buddhists,126136,1491.0,1491.0,1486.0,1470.0,934
303,maharashtra,jalna,2002.0,48,28,14,0,14,11,8,3,5,25,8,199,0,1612980,826903,786077,18.17,1305115,951.0,32103,64.4,79.14,49.04,716900,611998,104902,896080,1.Hindus,1255041,2.Muslims,211531,3.Buddhists,121033,963.0,963.0,959.0,952.0,380
304,maharashtra,kolhapur,2002.0,65,42,17,0,17,15,7,8,20,46,8,70,0,3523162,1807470,1715692,17.59,2472809,949.0,21387,76.93,87.47,66.02,1652970,1394882,258088,1870192,1.Hindus,3077263,2.Muslims,236875,3.Jains,147285,1196.0,1194.0,1190.0,1185.0,638
305,maharashtra,latur,2002.0,39,27,4,0,4,19,19,0,5,53,5,125,0,2080285,1075257,1005028,23.95,1590024,935.0,47836,71.54,82.94,59.4,840518,712849,127669,1239767,1.Hindus,1700679,2.Muslims,292996,3.Buddhists,74351,921.0,921.0,919.0,917.0,409
306,maharashtra,mumbai,2002.0,252,134,128,0,128,119,61,58,18,254,40,214,0,8640419,4741720,3898699,27.2,-,822.0,70454,86.89,91.56,81.12,3152509,2971039,181470,5487910,1.Hindus,5953475,2.Muslims,1488987,3.Buddhists,464354,1016.4515570934255,1009.6712802768166,774.7595155709342,796.7941176470588,118
307,maharashtra,mumbai,2002.0,252,134,128,0,128,119,61,58,18,254,40,214,0,3338031,1878246,1459785,4.79,-,777.0,20666,86.4,90.23,81.38,1311739,1250710,61029,2026292,1.Hindus,2119750,2.Muslims,734484,3.Buddhists,161417,1016.4515570934255,1009.6712802768166,774.7595155709342,796.7941176470588,118
308,maharashtra,nanded,2002.0,83,85,29,0,29,40,34,6,24,83,6,241,0,2876259,1481358,1394901,23.08,2187195,942.0,253596,67.77,80.44,54.35,1202037,965087,236950,1674222,1.Hindus,2162185,2.Muslims,385081,3.Buddhists,302161,1546.0,1538.0,1531.0,1536.0,209
309,maharashtra,osmanabad,2002.0,46,17,28,0,28,15,8,7,0,53,10,115,0,1486586,769368,717218,15.35,1253330,932.0,27857,69.02,80.42,56.89,653522,555202,98320,833064,1.Hindus,1297858,2.Muslims,151181,3.Buddhists,28356,729.0,729.0,727.0,726.0,400
310,maharashtra,parbhani,2002.0,55,31,19,0,19,11,7,4,5,55,4,137,0,1527715,780191,747524,15.31,1042529,958.0,35210,66.07,79.63,52.02,644752,559917,84835,882963,1.Hindus,1121246,2.Muslims,243935,3.Buddhists,153231,830.0,830.0,824.0,821.0,386
311,maharashtra,ratnagiri,2002.0,26,6,13,0,13,5,5,0,0,41,16,23,0,1696777,794498,902279,9.87,1504568,1136.0,20102,75.05,85.89,65.77,763387,557613,205774,933390,1.Hindus,1391137,2.Muslims,175672,3.Buddhists,120855,1539.0,1538.0,1539.0,1484.0,810
312,maharashtra,sangli,2002.0,97,29,33,0,33,22,14,8,4,38,8,63,0,2583524,1320088,1263436,17.59,1950306,957.0,17855,76.62,86.26,66.73,1218655,952241,266414,1364869,1.Hindus,2243478,2.Muslims,203524,3.Jains,85160,721.0,721.0,721.0,719.0,567
313,maharashtra,satara,2002.0,83,17,31,0,31,14,9,5,13,51,2,156,0,2808994,1408326,1400668,14.1,2410873,995.0,21896,78.22,88.2,68.38,1303658,1044989,258669,1505336,1.Hindus,2533359,2.Buddhists,128570,3.Muslims,125661,1716.0,1716.0,1701.0,1680.0,646
314,maharashtra,sindhudurg,2002.0,18,7,11,0,11,4,2,2,1,14,1,11,0,868825,417890,450935,3.55,786506,1079.0,4952,80.3,90.26,71.23,404985,233827,171158,463840,1.Hindus,802498,2.Buddhists,24320,3.Muslims,23668,743.0,743.0,735.0,722.0,593
315,maharashtra,wardha,2002.0,49,31,37,0,37,21,19,2,2,110,30,79,0,1236736,638990,597746,15.3,911695,935.0,154415,80.06,87.18,72.45,550351,431330,119021,686385,1.Hindus,1006235,2.Buddhists,169579,3.Muslims,47605,1004.0,998.0,998.0,842.0,392
316,maharashtra,yavatmal,2002.0,76,67,65,0,65,36,31,5,17,104,17,142,0,2458271,1265681,1192590,18.46,2001060,942.0,473370,73.62,84.09,62.52,1118937,949453,169484,1339334,1.Hindus,1999368,2.Buddhists,221793,3.Muslims,196909,1856.0,1820.0,1795.0,1729.0,723
317,manipur,bishnupur,2002.0,24,23,2,0,2,20,7,13,0,9,0,1,0,208368,104550,103818,13.9,133627,993.0,6143,67.63,79.61,55.66,89703,55557,34146,118665,1.Hindus,148903,2.Others,38763,3.Muslims,14194,48.0,48.0,46.0,47.0,28
318,manipur,chandel,2002.0,9,4,0,0,0,9,0,9,0,0,0,0,0,118327,59741,58586,72.8,103365,981.0,108779,56.23,64.34,47.98,54545,39935,14610,63782,1.Christians,109128,2.Hindus,5701,3.Muslims,2318,350.0,323.0,190.0,214.0,25
319,manipur,churachandpur,2002.0,30,11,0,0,0,19,1,18,0,1,0,0,0,227905,117232,110673,29.81,227905,944.0,212482,70.59,77.67,63.06,99363,71933,27430,128542,1.Christians,213186,2.Hindus,10538,3.Muslims,2573,540.0,539.0,306.0,395.0,66
320,manipur,tamenglong,2002.0,3,3,0,0,0,4,0,4,0,0,0,0,0,111499,58014,53485,29.23,111499,922.0,106349,59.25,68.72,48.95,50863,43353,7510,60636,1.Christians,105791,2.Hindus,3187,3.Muslims,1431,171.0,171.0,75.0,157.0,42
321,manipur,thoubal,2002.0,27,29,4,0,4,34,18,16,0,8,0,4,0,364140,182250,181890,24.62,232868,998.0,4274,66.41,80.43,52.46,177343,111486,65857,186797,1.Hindus,221096,2.Muslims,86849,3.Others,50819,90.0,90.0,84.0,88.0,36
322,manipur,ukhrul,2002.0,3,1,1,0,1,1,0,1,0,0,0,0,0,140778,73465,67313,28.98,140778,916.0,134493,73.12,80.13,65.41,66515,51564,14951,74263,1.Christians,133966,2.Hindus,5687,3.Muslims,881,198.0,198.0,154.0,188.0,47
323,mizoram,aizawl,2002.0,5,18,36,0,36,4,0,4,0,28,0,2,0,325676,166877,158799,39.24,77531,952.0,303641,96.51,96.75,96.26,162961,125328,37633,162715,1.Christians,303893,2.Hindus,14508,3.Muslims,5185,96.0,96.0,81.0,86.0,46
324,mizoram,lawngtlai,2002.0,3,0,2,0,2,0,0,0,0,4,0,0,0,73620,38776,34844,34.78,73620,899.0,70234,64.74,70.9,57.81,34093,26188,7905,39527,1.Buddhists,38410,2.Christians,32877,3.Hindus,1910,139.0,139.0,27.0,134.0,24
325,mizoram,lunglei,2002.0,2,2,11,0,11,0,0,0,0,11,0,0,0,137223,71402,65821,23.1,79267,922.0,130768,84.17,87.44,80.6,71792,60870,10922,65431,1.Christians,109204,2.Buddhists,22429,3.Hindus,4612,160.0,160.0,101.0,130.0,55
326,nagaland,kohima,2002.0,25,2,9,0,9,0,0,0,0,0,0,0,0,310084,162251,147833,49.96,233054,911.0,280753,74.54,80.3,68.15,135023,114456,20567,175061,1.Christians,278844,2.Hindus,21950,3.Others,5457,180.0,179.0,148.0,164.0,82
327,nagaland,mokokchung,2002.0,11,1,0,0,0,1,0,1,0,0,0,0,0,232085,120929,111156,43.48,200871,919.0,217653,83.92,86.03,81.61,109260,82160,27100,122825,1.Christians,219282,2.Hindus,10433,3.Muslims,2128,102.0,101.0,97.0,99.0,82
328,nagaland,mon,2002.0,1,1,0,0,0,1,1,0,0,0,0,0,0,260652,138753,121899,73.42,244062,879.0,244821,41.83,46.56,36.35,130848,108206,22642,129804,1.Christians,248684,2.Hindus,9963,3.Muslims,1748,110.0,110.0,102.0,107.0,69
329,nagaland,phek,2002.0,5,4,1,0,1,4,0,4,0,0,0,0,0,148195,77141,71054,45.12,135331,921.0,142977,70.65,78.37,62.26,71398,57454,13944,76797,1.Christians,143048,2.Hindus,4095,3.Muslims,517,104.0,104.0,102.0,102.0,54
330,nagaland,tuensang,2002.0,6,5,1,0,1,1,0,1,0,0,0,0,0,414818,218678,196140,78.1,385046,897.0,398350,50.64,55.12,45.58,184924,156950,27974,229894,1.Christians,406287,2.Hindus,6856,3.Muslims,1329,251.0,251.0,238.0,230.0,123
331,nagaland,wokha,2002.0,6,3,1,0,1,0,0,0,0,0,0,0,0,161223,83670,77553,95.01,123587,927.0,153983,80.55,85.35,75.32,56254,49679,6575,104969,1.Christians,155009,2.Hindus,4787,3.Muslims,1209,128.0,128.0,105.0,104.0,67
332,nagaland,zunheboto,2002.0,9,2,1,0,1,0,0,0,0,0,0,0,0,153955,79056,74899,61.0,130874,947.0,147915,69.28,73.74,64.57,56783,47491,9292,97172,1.Christians,150097,2.Hindus,3193,3.Muslims,492,187.0,186.0,187.0,178.0,57
333,punjab,amritsar,2002.0,51,24,5,0,5,32,23,9,9,14,0,74,0,3096077,1650589,1445488,22.72,1872802,876.0,-,67.27,72.61,61.26,1112200,938100,174100,1983877,1.Sikhs,2383575,2.Hindus,648284,3.Christians,51948,1185.0,1151.0,1185.0,1114.0,696
334,punjab,faridkot,2002.0,12,12,6,0,6,11,8,3,5,6,0,23,0,550892,292596,258296,21.42,357321,883.0,-,61.95,68.15,55.03,209754,181873,27881,341138,1.Sikhs,427104,2.Hindus,119702,3.Muslims,1739,163.0,163.0,163.0,160.0,107
335,punjab,gurdaspur,2002.0,26,24,17,0,17,14,8,6,4,10,0,28,0,2104011,1113077,990934,19.33,1568788,890.0,-,73.77,79.78,67.15,700557,568322,132235,1403454,1.Hindus,996246,2.Sikhs,934963,3.Christians,148981,1532.0,1531.0,1532.0,1375.0,517
336,punjab,hoshiarpur,2002.0,31,38,19,0,19,16,10,6,12,12,1,55,0,1480736,765132,715604,13.81,1188662,935.0,-,81.02,86.45,75.32,513351,415123,98228,967385,1.Hindus,871923,2.Sikhs,574862,3.Muslims,15394,1386.0,1386.0,1386.0,1232.0,382
337,punjab,jalandhar,2002.0,59,64,20,0,20,50,38,12,14,12,0,82,0,1962700,1040177,922523,18.4,1030717,887.0,-,78.04,82.49,73.08,676835,599324,77511,1285865,1.Hindus,1158868,2.Sikhs,740841,3.Christians,22106,934.0,934.0,934.0,832.0,598
338,punjab,kapurthala,2002.0,32,18,17,0,17,16,8,8,7,14,0,47,0,754521,399623,354898,16.34,507994,888.0,-,73.93,79.02,68.29,262741,231222,31519,491780,1.Sikhs,448654,2.Hindus,286438,3.Buddhists,7740,618.0,618.0,618.0,478.0,359
339,punjab,ludhiana,2002.0,68,77,40,0,40,125,88,37,16,88,127,145,0,3032831,1662716,1370115,24.79,1339178,824.0,-,76.5,80.25,71.95,1149638,1041517,108121,1883193,1.Sikhs,1744446,2.Hindus,1205128,3.Muslims,52220,897.0,897.0,897.0,842.0,550
340,punjab,patiala,2002.0,46,48,18,0,18,41,29,12,14,45,0,119,0,1844934,987390,857544,20.31,1200224,868.0,-,69.78,75.88,62.86,681951,589015,92936,1162983,1.Sikhs,1024546,2.Hindus,778427,3.Muslims,34828,1054.0,1053.0,1054.0,986.0,172
341,punjab,sangrur,2002.0,42,37,14,0,14,23,17,6,6,19,4,52,0,2000173,1069289,930884,18.57,1415354,871.0,-,59.98,65.81,53.38,814098,714076,100022,1186075,1.Sikhs,1400149,2.Hindus,434873,3.Muslims,157838,697.0,697.0,697.0,684.0,291
