,state,District,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,person,Male,Female,growthinpopulation,rural,urban,STPop,Personlit_rate,Mlit_Rate,Flit_Rate,Totalworkers,Mainworkers,Marginal workers,Nonworkers,Religion1,religion1 population,Religion2,Religion2 Population,religion3name,religion3poulation,inhabitadevillages,drinkingwater,electricity,primary school,Medical facility
20,bihar,araria,2001.0,47,27,93,0,93,79,13,66,11,3,0,50,0,2158608,1128105,1030503,31.84,2026257,913.0,29423,35.01,46.38,22.37,853445,657446,195999,1305163,1.Hindus,1263766,2.Muslims,887972,3.Jains,2504,713.0,713.0,129.0,552.0,60
21,bihar,aurangabad,2001.0,74,46,16,0,16,24,4,20,33,13,2,19,0,2013055,1040945,972110,30.19,1842998,934.0,1640,57.03,71.13,41.9,671011,476390,194621,1342044,1.Hindus,1814612,2.Muslims,196030,3.Religion not stated,1161,1739.0,1739.0,527.0,1148.0,270
22,bihar,begusarai,2001.0,124,77,13,0,13,53,7,46,21,32,0,21,0,2349366,1228874,1120492,29.11,2241743,912.0,1505,47.98,59.13,35.64,746075,571564,174511,1603291,1.Hindus,2033039,2.Muslims,313713,3.Religion not stated,1224,729.0,729.0,457.0,503.0,167
23,bihar,bhagalpur,2001.0,128,73,35,0,35,66,9,57,20,15,0,52,0,2423172,1291658,1131514,27.24,1970745,876.0,55545,49.5,59.22,38.13,855345,580731,274614,1567827,1.Hindus,1990976,2.Muslims,423246,3.Christians,1853,935.0,935.0,445.0,642.0,229
24,bihar,bhojpur,2001.0,135,33,22,0,22,46,13,33,23,0,4,29,0,2243144,1179611,1063533,24.58,1930730,902.0,8337,58.96,74.29,41.8,653811,491916,161895,1589333,1.Hindus,2076589,2.Muslims,163193,3.Religion not stated,913,999.0,999.0,247.0,885.0,133
25,bihar,darbhanga,2001.0,53,64,19,0,19,39,16,23,37,40,0,34,0,3295789,1722189,1573600,30.85,3028441,914.0,841,44.33,56.72,30.78,1028558,761464,267094,2267231,1.Hindus,2543284,2.Muslims,748971,3.Religion not stated,2245,1083.0,1083.0,490.0,850.0,271
26,bihar,gaya,2001.0,200,170,25,0,25,66,15,51,26,27,0,24,0,3473428,1792163,1681265,30.19,2997479,938.0,2945,50.45,63.27,36.66,1277639,994459,283180,2195789,1.Hindus,3063841,2.Muslims,403439,3.Religion not stated,1622,2680.0,2680.0,539.0,1635.0,278
27,bihar,gopalganj,2001.0,107,92,13,0,13,59,18,41,22,0,2,155,0,2152638,1075710,1076928,26.11,2022048,1001.0,6157,47.48,62.96,32.16,641672,466811,174861,1510966,1.Hindus,1784275,2.Muslims,367219,3.Religion not stated,850,1383.0,1383.0,439.0,866.0,261
28,bihar,jehanabad,2001.0,73,80,6,0,6,35,5,30,25,0,0,4,0,1514315,784946,729369,28.64,1402703,929.0,1313,55.26,70.07,39.37,580905,422789,158116,933410,1.Hindus,1389053,2.Muslims,124149,3.Religion not stated,743,856.0,856.0,219.0,672.0,123
29,bihar,katihar,2001.0,60,47,51,0,51,49,20,29,6,6,0,29,0,2392638,1246872,1145766,30.91,2174361,919.0,140418,35.09,45.31,23.8,898326,664259,234067,1494312,1.Hindus,1363523,2.Muslims,1017495,3.Christians,4994,1290.0,1290.0,277.0,785.0,248
30,bihar,khagaria,2001.0,72,27,5,0,5,34,6,28,11,6,0,2,0,1280354,679267,601087,29.32,1204027,885.0,332,41.35,51.82,29.35,467240,333262,133978,813114,1.Hindus,1147346,2.Muslims,131441,3.Others,546,241.0,241.0,114.0,220.0,124
31,bihar,kishanganj,2001.0,25,15,22,0,22,23,16,7,4,2,1,39,0,1296348,669552,626796,31.5,1167340,936.0,47116,31.09,42.71,18.63,417151,359819,57332,879197,1.Muslims,876105,2.Hindus,412995,3.Christians,2856,730.0,730.0,116.0,442.0,120
32,bihar,madhepura,2001.0,56,23,11,0,11,49,15,34,6,3,0,10,0,1526646,797180,729466,29.45,1458679,915.0,9295,36.07,48.8,22.11,683976,498367,185609,842670,1.Hindus,1351978,2.Muslims,173605,3.Religion not stated,494,384.0,384.0,168.0,311.0,141
33,bihar,madhubani,2001.0,35,65,13,0,13,36,11,25,12,41,0,18,0,3575281,1840997,1734284,26.08,3450736,942.0,1260,41.97,56.79,26.25,1227723,877412,350311,2347558,1.Hindus,2930501,2.Muslims,641579,3.Religion not stated,1477,1034.0,1034.0,437.0,901.0,232
34,bihar,munger,2001.0,51,108,11,0,11,45,15,30,8,0,0,39,0,1137797,607730,530067,20.34,819950,872.0,18060,59.47,69.89,47.4,331451,233688,97763,806346,1.Hindus,1045233,2.Muslims,89791,3.Christians,1135,525.0,525.0,321.0,382.0,149
35,bihar,muzaffarpur,2001.0,153,162,73,0,73,113,25,88,69,81,0,141,6,3746714,1951466,1795248,26.74,3398361,920.0,3472,47.95,59.1,35.81,1139830,895830,244000,2606884,1.Hindus,3168225,2.Muslims,573951,3.Religion not stated,2104,1725.0,1725.0,1021.0,1423.0,526
36,bihar,nalanda,2001.0,208,249,40,0,40,126,12,114,47,14,2,54,0,2370528,1238599,1131929,18.64,2016899,914.0,970,53.19,66.44,38.58,903144,700007,203137,1467384,1.Hindus,2191552,2.Muslims,176871,3.Religion not stated,888,1000.0,1000.0,366.0,879.0,198
