YEAR,person,Male,Female,growthinpopulation,urban,Personlit_rate,Mlit_Rate,Flit_Rate,Totalworkers,Mainworkers,Marginal workers,Nonworkers,religion1 population,Religion2 Population,religion3poulation,inhabitadevillages,drinkingwater,electricity,primary school,state,District,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,rural,Religion1,Religion2,religion3name,Medical facility
2001.0,1150062,601099,548963,19.52,913.0,60.95,70.15,50.78,466351,349847,116504,683711,1029142,62403,40000,1107.0,1107.0,871.0,936.0,assam,tinsukia,107.0,17,41,0.0,41.0,62,48,14,2,9,0,21,0,926105.0,1.Hindus,2.Muslims,3.Christians,198.0
2001.0,2158608,1128105,1030503,31.84,913.0,35.01,46.38,22.37,853445,657446,195999,1305163,1263766,887972,2504,713.0,713.0,129.0,552.0,bihar,araria,47.0,27,93,0.0,93.0,79,13,66,11,3,0,50,0,2026257.0,1.Hindus,2.Muslims,3.Jains,60.0
2001.0,2013055,1040945,972110,30.19,934.0,57.03,71.13,41.9,671011,476390,194621,1342044,1814612,196030,1161,1739.0,1739.0,527.0,1148.0,bihar,aurangabad,74.0,46,16,0.0,16.0,24,4,20,33,13,2,19,0,1842998.0,1.Hindus,2.Muslims,3.Religion not stated,270.0
2001.0,2349366,1228874,1120492,29.11,912.0,47.98,59.13,35.64,746075,571564,174511,1603291,2033039,313713,1224,729.0,729.0,457.0,503.0,bihar,begusarai,124.0,77,13,0.0,13.0,53,7,46,21,32,0,21,0,2241743.0,1.Hindus,2.Muslims,3.Religion not stated,167.0
2001.0,2423172,1291658,1131514,27.24,876.0,49.5,59.22,38.13,855345,580731,274614,1567827,1990976,423246,1853,935.0,935.0,445.0,642.0,bihar,bhagalpur,128.0,73,35,0.0,35.0,66,9,57,20,15,0,52,0,1970745.0,1.Hindus,2.Muslims,3.Christians,229.0
2001.0,2243144,1179611,1063533,24.58,902.0,58.96,74.29,41.8,653811,491916,161895,1589333,2076589,163193,913,999.0,999.0,247.0,885.0,bihar,bhojpur,135.0,33,22,0.0,22.0,46,13,33,23,0,4,29,0,1930730.0,1.Hindus,2.Muslims,3.Religion not stated,133.0
2001.0,3295789,1722189,1573600,30.85,914.0,44.33,56.72,30.78,1028558,761464,267094,2267231,2543284,748971,2245,1083.0,1083.0,490.0,850.0,bihar,darbhanga,53.0,64,19,0.0,19.0,39,16,23,37,40,0,34,0,3028441.0,1.Hindus,2.Muslims,3.Religion not stated,271.0
2001.0,3473428,1792163,1681265,30.19,938.0,50.45,63.27,36.66,1277639,994459,283180,2195789,3063841,403439,1622,2680.0,2680.0,539.0,1635.0,bihar,gaya,200.0,170,25,0.0,25.0,66,15,51,26,27,0,24,0,2997479.0,1.Hindus,2.Muslims,3.Religion not stated,278.0
2001.0,2152638,1075710,1076928,26.11,1001.0,47.48,62.96,32.16,641672,466811,174861,1510966,1784275,367219,850,1383.0,1383.0,439.0,866.0,bihar,gopalganj,107.0,92,13,0.0,13.0,59,18,41,22,0,2,155,0,2022048.0,1.Hindus,2.Muslims,3.Religion not stated,261.0
2001.0,1514315,784946,729369,28.64,929.0,55.26,70.07,39.37,580905,422789,158116,933410,1389053,124149,743,856.0,856.0,219.0,672.0,bihar,jehanabad,73.0,80,6,0.0,6.0,35,5,30,25,0,0,4,0,1402703.0,1.Hindus,2.Muslims,3.Religion not stated,123.0
2001.0,2392638,1246872,1145766,30.91,919.0,35.09,45.31,23.8,898326,664259,234067,1494312,1363523,1017495,4994,1290.0,1290.0,277.0,785.0,bihar,katihar,60.0,47,51,0.0,51.0,49,20,29,6,6,0,29,0,2174361.0,1.Hindus,2.Muslims,3.Christians,248.0
2001.0,1280354,679267,601087,29.32,885.0,41.35,51.82,29.35,467240,333262,133978,813114,1147346,131441,546,241.0,241.0,114.0,220.0,bihar,khagaria,72.0,27,5,0.0,5.0,34,6,28,11,6,0,2,0,1204027.0,1.Hindus,2.Muslims,3.Others,124.0
2001.0,1296348,669552,626796,31.5,936.0,31.09,42.71,18.63,417151,359819,57332,879197,876105,412995,2856,730.0,730.0,116.0,442.0,bihar,kishanganj,25.0,15,22,0.0,22.0,23,16,7,4,2,1,39,0,1167340.0,1.Muslims,2.Hindus,3.Christians,120.0
2001.0,1526646,797180,729466,29.45,915.0,36.07,48.8,22.11,683976,498367,185609,842670,1351978,173605,494,384.0,384.0,168.0,311.0,bihar,madhepura,56.0,23,11,0.0,11.0,49,15,34,6,3,0,10,0,1458679.0,1.Hindus,2.Muslims,3.Religion not stated,141.0
2001.0,3575281,1840997,1734284,26.08,942.0,41.97,56.79,26.25,1227723,877412,350311,2347558,2930501,641579,1477,1034.0,1034.0,437.0,901.0,bihar,madhubani,35.0,65,13,0.0,13.0,36,11,25,12,41,0,18,0,3450736.0,1.Hindus,2.Muslims,3.Religion not stated,232.0
2001.0,1137797,607730,530067,20.34,872.0,59.47,69.89,47.4,331451,233688,97763,806346,1045233,89791,1135,525.0,525.0,321.0,382.0,bihar,munger,51.0,108,11,0.0,11.0,45,15,30,8,0,0,39,0,819950.0,1.Hindus,2.Muslims,3.Christians,149.0
